Farmer_Message,Advisor_Reply,Crop,Problem_Type,Language,Location,Season,Urgency_Level,Sentiment,Advisor_Type,Product_Recommended,Cost_Estimate,Follow_Up_Required,Message_Length,Intent_Tag,Timestamp
ಮಾವು ಬೆಳೆ ರೋಗ ದ ಕಾರಣೊರ್ದು ಹಾಳಾತ್ಂಡ್.,ನೀಮ್ ಎಣ್ಣೆ ಬಳಕೆ ಮಲ್ಪುಲೆ।,Mango,Disease,Tulu,Tripura,Monsoon,High,Angry,Govt_Expert,Neem Oil,4638,No,6,ask_advice,09/02/2024 11:59
कपास की फसल रोग से खराब हो रही है।,सिंचाई पंप का छिड़काव करें।,Cotton,Disease,Hindi,Gujarat,Winter,Low,Hopeful,Govt_Expert,Irrigation Pump,1138,No,9,ask_advice,02/12/2024 21:21
सेब की फसल रोग से खराब हो रही है।,मिट्टी की जांच करें और उर्वरक लगाएं।,Apple,Disease,Hindi,Sikkim,Monsoon,Medium,Worried,Private,Fertilizer,400,Yes,9,ask_advice,23/04/2024 20:06
नाचणी चे पीक उपकरण समस्या मुळे खराब झाले आहे.,कीटकनाशक वापरा.,Ragi,Equipment,Marathi,Gujarat,Rabi,Low,Hopeful,Govt_Expert,Pesticide,2039,Yes,9,ask_advice,11/04/2025 20:36
हमर कॉफी के पोषक तत्व के अभाव से नुकसान भ गेल अछि।,खाद के छिड़काव करू।,Coffee,Nutrient,Maithili,Goa,Kharif,Medium,Hopeful,Govt_Expert,Fertilizer,1326,Yes,12,ask_advice,30/01/2024 02:49
ঐগী ঐং দা পানীগী অভাৱ ওইরে।,ইৰিগেচন পাম্প শিজিন্নবা।,Sugarcane,Water,Manipuri,Haryana,Monsoon,Medium,Worried,Private,Irrigation Pump,3832,Yes,6,ask_advice,17/02/2024 03:32
ঐগী বাজৰা দা মৌজমগী সমস্যা গী আক্রমণ ওইরে।,মাটি পৰীক্ষা কৰি ইৰিগেচন পাম্প প্রয়োগ কৰবা।,Millets,Weather,Manipuri,Maharashtra,Winter,High,Neutral,AI,Irrigation Pump,2994,No,8,ask_advice,01/08/2024 22:26
केला के फसल मौसम के समस्या के कारण खराब हो रहल बा।,सिंचाई पंप के छिड़काव करीं।,Banana,Weather,Bhojpuri,Assam,Zaid,High,Frustrated,Govt_Expert,Irrigation Pump,353,Yes,12,ask_advice,02/03/2025 00:49
எனது கேழ்வரகு இல் உபகரண பிரச்சனை உள்ளன.,மண்ணை சோதித்து எதுவுமில்லை பயன்படுத்தவும்.,Ragi,Equipment,Tamil,Goa,Rabi,Low,Neutral,Private,None,0,Yes,19,ask_advice,12/07/2024 11:32
എന്റെ പരുത്തി ൽ പോഷകാഹാരക്കുറവ് ഉണ്ട്.,നനവ് പമ്പ് ഉപയോഗിക്കുക.,Cotton,Nutrient,Malayalam,Uttarakhand,Rabi,Low,Frustrated,AI,Irrigation Pump,4357,No,19,ask_advice,26/03/2025 08:30
எனது மசாலா க்கு ஊட்டச்சத்து குறைபாடு தாக்குதல் உள்ளது.,மண்ணை சோதித்து சொட்டு நீர்ப்பாசன கருவி பயன்படுத்தவும்.,Spices,Nutrient,Tamil,West Bengal,Monsoon,Medium,Angry,Govt_Expert,Drip Kit,1053,No,27,ask_advice,18/06/2024 05:44
माझ्या सफरचंद मध्ये पाण्याची कमतरता आहेत.,मातीची तपासणी करा आणि ठिबक सिंचन किट लावा.,Apple,Water,Marathi,Mizoram,Monsoon,High,Worried,NGO,Drip Kit,1217,No,6,ask_advice,09/12/2024 09:34
ମୋ ମସଲା କୁ ଉପକରଣ ସମସ୍ୟା ଦ୍ୱାରା କ୍ଷତି ହେଉଛି।,ମାଟି ପରୀକ୍ଷା କରନ୍ତୁ ଏବଂ କୀଟନାଶକ ଲଗାନ୍ତୁ।,Spices,Equipment,Odia,Uttar Pradesh,Zaid,Medium,Neutral,Human,Pesticide,4301,Yes,8,ask_advice,12/07/2024 10:45
మా అరటి లో పోషకాహార లోపం సమస్య ఉంది.,ఫంగిసైడ్ స్ప్రే చేయండి.,Banana,Nutrient,Telugu,Gujarat,Kharif,Low,Frustrated,Private,Fungicide,438,Yes,18,ask_advice,18/09/2024 14:44
ನನ್ನ ಟೊಮೇಟೊ ಗೆ ಮಾರುಕಟ್ಟೆ ಸಮಸ್ಯೆ ನಷ್ಟವನ್ನುಂಟುಮಾಡಿದೆ.,ನೀಮ್ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.,Tomato,Market,Kannada,Rajasthan,Zaid,Low,Neutral,AI,Neem Oil,2496,No,25,ask_advice,27/06/2024 18:00
मेरे कॉफी को बाजार की समस्या ने नुकसान पहुंचाया है।,नीम तेल का उपयोग करें।,Coffee,Market,Hindi,Uttar Pradesh,Kharif,Medium,Neutral,Govt_Expert,Neem Oil,205,Yes,10,ask_advice,02/05/2025 08:53
అరటి పంట వ్యాధి వల్ల దెబ్బతింది.,వేప నూనె వాడండి.,Banana,Disease,Telugu,Gujarat,Kharif,Medium,Angry,Private,Neem Oil,1079,No,16,ask_advice,05/05/2024 09:00
ঐগী আম দা বজাৰগী সমস্যা গী আক্রমণ ওইরে।,ফাংগিচাইড শিজিন্নবা।,Mango,Market,Manipuri,Odisha,Kharif,High,Hopeful,Human,Fungicide,3403,Yes,8,ask_advice,17/09/2024 16:29
ঐগী আলু দা ৰোগ গী আক্রমণ ওইরে।,কীটনাশক শিজিন্নবা।,Potato,Disease,Manipuri,Tamil Nadu,Kharif,High,Angry,AI,Pesticide,4536,Yes,7,ask_advice,25/05/2024 14:46
कापूस चें पीक उपकरण समस्या कारणान खराब जाला।,माती तपासून सिंचन पंप लाय।,Cotton,Equipment,Konkani,Andhra Pradesh,Rabi,High,Hopeful,Govt_Expert,Irrigation Pump,354,Yes,8,ask_advice,08/05/2024 00:09
எனது தேநீர் இல் சந்தை பிரச்சனை உள்ளன.,பூச்சிக்கொல்லி பயன்படுத்தவும்.,Tea,Market,Tamil,Odisha,Zaid,Low,Neutral,Private,Pesticide,1739,No,18,ask_advice,09/02/2025 05:38
ಎನ್ನ ರಾಗಿ ಗ್ ಮಾರುಕಟ್ಟೆ ಸಮಸ್ಯೆ ರ್ದ್ ನಷ್ಟ ಆತ್ಂಡ್.,ಕೀಟನಾಶಕ ಸಿಂಪಿಲೆ।,Millets,Market,Tulu,Punjab,Rabi,High,Hopeful,AI,Pesticide,1058,Yes,8,ask_advice,28/06/2024 07:36
सफरचंद चें पीक उदकाचो अभाव कारणान खराब जाला।,निंबोळी तेल ची फवारणी कर।,Apple,Water,Konkani,Rajasthan,Kharif,High,Angry,Private,Neem Oil,127,No,8,ask_advice,01/03/2024 23:22
म्हज्या मसालो आक किडे नुकसान जालें।,कीटकनाशक ची फवारणी कर।,Spices,Pest,Konkani,Tripura,Summer,Low,Worried,Human,Pesticide,1903,Yes,6,ask_advice,07/01/2024 16:53
मेरे धान में पोषक तत्वों की कमी हो गए हैं।,कुच्छ नह का छिड़काव करो।,Rice,Nutrient,Haryanvi,Andhra Pradesh,Winter,High,Frustrated,Govt_Expert,None,0,Yes,10,ask_advice,12/04/2025 21:36
ડુંગળી નું પાક પાણીની અછત ને કારણે ખરાબ થઈ રહ્યું છે.,ફૂગનાશક નો છંટકાવ કરો.,Onion,Water,Gujarati,Manipur,Rabi,High,Neutral,Private,Fungicide,468,Yes,11,ask_advice,05/12/2024 07:23
ਮੇਰੀ ਬੈਂਗਣ ਦੀ ਫਸਲ ਵਿੱਚ ਰੋਗ ਹਨ।,ਕੀਟਨਾਸ਼ਕ ਦਾ ਛਿੜਕਾਅ ਕਰੋ।,Brinjal,Disease,Punjabi,Uttar Pradesh,Rabi,Medium,Worried,AI,Pesticide,2878,Yes,7,ask_advice,23/02/2025 00:12
ಎನ್ನ ಮಾವು ಡ್ ನೀರ್ ಕೊರತೆ ಆತ್ಂಡ್.,ನೀಮ್ ಎಣ್ಣೆ ಬಳಕೆ ಮಲ್ಪುಲೆ।,Mango,Water,Tulu,Kerala,Monsoon,High,Worried,Govt_Expert,Neem Oil,745,No,6,ask_advice,10/11/2024 21:21
सेब की फसल कीड़े से खराब हो रही है।,ड्रिप किट का छिड़काव करें।,Apple,Pest,Hindi,Meghalaya,Summer,Low,Angry,NGO,Drip Kit,2339,No,9,ask_advice,19/03/2025 10:55
எனது தேநீர் க்கு சந்தை பிரச்சனை தாக்குதல் உள்ளது.,நீர்ப்பாசன பம்பு தெளிக்கவும்.,Tea,Market,Tamil,Himachal Pradesh,Summer,Medium,Hopeful,Private,Irrigation Pump,2902,Yes,24,ask_advice,24/08/2024 01:46
અમારા ઘઉં માં પોષક તત્વોની ઉણપ થયા છે.,કંઈ નહીં નો છંટકાવ કરો.,Wheat,Nutrient,Gujarati,Punjab,Winter,Low,Angry,NGO,None,0,Yes,8,ask_advice,04/12/2024 23:12
ಎನ್ನ ಟೊಮೇಟೊ ಗ್ ಪೋಷಕಾಂಶ ಕೊರತೆ ರ್ದ್ ನಷ್ಟ ಆತ್ಂಡ್.,ಗೊಬ್ಬರ ಬಳಕೆ ಮಲ್ಪುಲೆ।,Tomato,Nutrient,Tulu,Himachal Pradesh,Rabi,Low,Frustrated,Govt_Expert,Fertilizer,3455,Yes,8,ask_advice,27/01/2024 04:35
منہ گنا کو کیڑہ نی نقصان کرو۔,مٹی دی جانچ کرو تے ایریگیشن پمپ لاو۔,Sugarcane,Pest,Kashmiri,Rajasthan,Kharif,Low,Neutral,Human,Irrigation Pump,723,Yes,7,ask_advice,23/11/2024 14:58
ਮੇਰੀ ਬਾਜਰਾ ਨੂੰ ਮੌਸਮ ਦੀ ਸਮੱਸਿਆ ਨੇ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ ਹੈ।,ਮਿੱਟੀ ਦੀ ਜਾਂਚ ਕਰੋ ਅਤੇ ਸਿੰਚਾਈ ਪੰਪ ਲਗਾਓ।,Millets,Weather,Punjabi,Karnataka,Summer,High,Frustrated,Human,Irrigation Pump,1653,No,10,ask_advice,30/01/2024 17:50
हमर आलू के बाजार के समस्या से नुकसान भ गेल अछि।,किछु नहि के उपयोग करू।,Potato,Market,Maithili,Telangana,Monsoon,High,Angry,Human,None,0,Yes,11,ask_advice,09/03/2025 03:47
మా పప్పు కి పురుగులు నష్టం కలిగింది.,ఫంగిసైడ్ స్ప్రే చేయండి.,Pulses,Pest,Telugu,Bihar,Zaid,Medium,Angry,NGO,Fungicide,2625,No,18,ask_advice,19/02/2024 07:00
म्हज्या सफरचंद आक पोषक द्रव्यांचो अभाव नुकसान जालें।,कांय ना ची फवारणी कर।,Apple,Nutrient,Konkani,Himachal Pradesh,Monsoon,Low,Frustrated,NGO,None,0,No,8,ask_advice,23/12/2024 11:10
మా సుగంధ ద్రవ్యాలు లో నీటి కొరత సమస్య ఉంది.,ఫంగిసైడ్ స్ప్రే చేయండి.,Spices,Water,Telugu,Madhya Pradesh,Winter,Medium,Neutral,Human,Fungicide,310,Yes,21,ask_advice,07/03/2025 19:39
धान की फसल पोषक तत्वों की कमी से खराब हो रही है।,मिट्टी की जांच करें और कीटनाशक लगाएं।,Rice,Nutrient,Hindi,Telangana,Kharif,Low,Worried,Human,Pesticide,2693,No,12,ask_advice,26/04/2025 18:26
منہ بینگن کو پانی دی کمی نی نقصان کرو۔,مٹی دی جانچ کرو تے کہین نہ لاو۔,Brinjal,Water,Kashmiri,Manipur,Monsoon,Medium,Neutral,NGO,None,0,No,9,ask_advice,13/04/2025 02:21
منہ کافی کو موسم دی پریشانی نی نقصان کرو۔,ایریگیشن پمپ استیمال کرو۔,Coffee,Weather,Kashmiri,Gujarat,Monsoon,Low,Worried,Human,Irrigation Pump,1540,Yes,9,ask_advice,26/03/2025 15:42
म्हज्या टोमाटो आक बाजार समस्या नुकसान जालें।,माती तपासून ठिबक सिंचन किट लाय।,Tomato,Market,Konkani,Mizoram,Rabi,High,Worried,Private,Drip Kit,2954,Yes,7,ask_advice,27/09/2024 22:22
ঐগী চাউ দা ৰোগ ওইরে।,মাটি পৰীক্ষা কৰি ইৰিগেচন পাম্প প্রয়োগ কৰবা।,Rice,Disease,Manipuri,Rajasthan,Rabi,High,Frustrated,Human,Irrigation Pump,4013,Yes,5,ask_advice,04/03/2025 03:08
हमार कॉफी के बाजार के समस्या से नुकसान भइल बा।,ड्रिप किट के उपयोग करीं।,Coffee,Market,Bhojpuri,Jharkhand,Kharif,Medium,Neutral,Govt_Expert,Drip Kit,540,Yes,10,ask_advice,23/06/2024 08:01
ঐগী ডাল দা মৌজমগী সমস্যা ওইরে।,মাটি পৰীক্ষা কৰি ইৰিগেচন পাম্প প্রয়োগ কৰবা।,Pulses,Weather,Manipuri,Jharkhand,Kharif,Medium,Hopeful,Govt_Expert,Irrigation Pump,4372,Yes,6,ask_advice,26/04/2024 11:07
ಕಾಳು ಬೆಳೆ ಉಪಕರಣ ಸಮಸ್ಯೆ ಕಾರಣದಿಂದ ಹಾಳಾಗುತ್ತಿದೆ.,ನೀರಾವರಿ ಪಂಪ್ ಬಳಸಿ.,Pulses,Equipment,Kannada,Andhra Pradesh,Rabi,Low,Frustrated,Private,Irrigation Pump,3761,Yes,22,ask_advice,02/12/2024 17:10
ᱠᱚᱯᱷᱤ ᱨᱮᱫᱚ ᱵᱟᱡᱟᱨ ᱵᱟᱹᱜᱟᱱᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱱᱤᱢ ᱛᱮᱞ ᱥᱤᱢᱯᱟᱹᱲᱤ ᱢᱮᱱᱟᱜᱼᱟ।,Coffee,Market,Santhali,Karnataka,Kharif,Low,Hopeful,NGO,Neem Oil,1295,No,7,ask_advice,07/05/2024 14:20
हमर धान मे उपकरण के समस्या भ गेल अछि।,सिंचाई पंप के छिड़काव करू।,Rice,Equipment,Maithili,Chhattisgarh,Rabi,High,Neutral,Govt_Expert,Irrigation Pump,4338,No,9,ask_advice,29/12/2024 02:42
ମୋ ଆଳୁ କୁ କୀଟ ଦ୍ୱାରା କ୍ଷତି ହେଉଛି।,ମାଟି ପରୀକ୍ଷା କରନ୍ତୁ ଏବଂ କୀଟନାଶକ ଲଗାନ୍ତୁ।,Potato,Pest,Odia,Manipur,Rabi,High,Hopeful,NGO,Pesticide,3910,No,7,ask_advice,02/10/2024 15:04
ಎನ್ನ ಗೋಧಿ ಡ್ ಕಿರ ಆತ್ಂಡ್.,ಡ್ರಿಪ್ ನೀರಾವರಿ ಕಿಟ್ ಸಿಂಪಿಲೆ।,Wheat,Pest,Tulu,Meghalaya,Kharif,Medium,Frustrated,AI,Drip Kit,4554,No,5,ask_advice,19/04/2024 04:41
ᱠᱮᱨᱟ ᱨᱮᱫᱚ ᱥᱟᱡᱟᱜ ᱵᱟᱹᱜᱟᱱᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱵᱟᱨᱮ ᱧᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱨ ᱵᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱞᱟᱜᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ।,Banana,Equipment,Santhali,Gujarat,Rabi,High,Worried,NGO,None,0,No,7,ask_advice,10/03/2024 09:39
ನನ್ನ ರಾಗಿ ಗೆ ನೀರಿನ ಕೊರತೆ ನಷ್ಟವನ್ನುಂಟುಮಾಡಿದೆ.,ನೀಮ್ ಎಣ್ಣೆ ಬಳಸಿ.,Millets,Water,Kannada,Odisha,Monsoon,Medium,Hopeful,NGO,Neem Oil,2911,Yes,22,ask_advice,05/04/2025 03:30
हमर धान के रोग से नुकसान भ गेल अछि।,नीम तेल के उपयोग करू।,Rice,Disease,Maithili,Manipur,Monsoon,Medium,Hopeful,AI,Neem Oil,2958,No,9,ask_advice,08/12/2024 14:16
हमर गेहूं मे कीड़ा भ गेल अछि।,माटी के जाँच करू आ खाद लगाऊ।,Wheat,Pest,Maithili,West Bengal,Summer,High,Hopeful,Human,Fertilizer,4999,No,7,ask_advice,18/03/2025 16:24
ଚା ଫସଲ ପାଗ ସମସ୍ୟା କାରଣରୁ ନଷ୍ଟ ହେଉଛି।,ସାର ବ୍ୟବହାର କରନ୍ତୁ।,Tea,Weather,Odia,Uttar Pradesh,Zaid,High,Frustrated,Govt_Expert,Fertilizer,4149,No,7,ask_advice,18/01/2025 10:14
मेरे प्याज में मौसम की समस्या हो गए हैं।,मिट्टी की जांच करें और सिंचाई पंप लगाएं।,Onion,Weather,Hindi,Manipur,Monsoon,Medium,Angry,Private,Irrigation Pump,673,No,9,ask_advice,27/06/2024 10:00
हमर पियाज के बाजार के समस्या से नुकसान भ गेल अछि।,नीम तेल के छिड़काव करू।,Onion,Market,Maithili,Mizoram,Winter,Medium,Worried,Human,Neem Oil,4393,No,11,ask_advice,26/02/2025 11:19
माझ्या नाचणी ला बाजार समस्या ने नुकसान केले आहे.,बुरशीनाशक वापरा.,Ragi,Market,Marathi,Rajasthan,Zaid,Medium,Hopeful,Govt_Expert,Fungicide,720,Yes,9,ask_advice,19/04/2024 19:18
எனது பயறு இல் வானிலை பிரச்சனை உள்ளன.,நீர்ப்பாசன பம்பு பயன்படுத்தவும்.,Pulses,Weather,Tamil,Maharashtra,Kharif,Medium,Angry,Govt_Expert,Irrigation Pump,2845,Yes,18,ask_advice,01/08/2024 18:29
मेरे केला को पोषक तत्वों की कमी ने नुकसान कर दिया है।,ड्रिप किट का उपयोग करो।,Banana,Nutrient,Haryanvi,Sikkim,Summer,High,Frustrated,AI,Drip Kit,4101,No,12,ask_advice,19/08/2024 16:43
धान के फसल कीड़ा के कारण खराब हो रहल अछि।,कीटनाशक के छिड़काव करू।,Rice,Pest,Maithili,Karnataka,Monsoon,Medium,Neutral,Govt_Expert,Pesticide,1518,No,10,ask_advice,22/06/2024 01:42
মোৰ টমেটো ত বতৰৰ সমস্যাৰ আক্ৰমণ হৈছে।,একো নাই স্প্ৰে কৰক।,Tomato,Weather,Assamese,Uttarakhand,Zaid,High,Angry,Private,None,0,No,7,ask_advice,18/11/2024 11:20
ਮੇਰੀ ਝੋਨਾ ਨੂੰ ਮੌਸਮ ਦੀ ਸਮੱਸਿਆ ਨੇ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ ਹੈ।,ਮਿੱਟੀ ਦੀ ਜਾਂਚ ਕਰੋ ਅਤੇ ਨੀਮ ਦਾ ਤੇਲ ਲਗਾਓ।,Rice,Weather,Punjabi,Haryana,Summer,High,Neutral,NGO,Neem Oil,1787,Yes,10,ask_advice,28/04/2025 03:31
ବାଇଗଣ ଫସଲ ବଜାର ସମସ୍ୟା କାରଣରୁ ନଷ୍ଟ ହେଉଛି।,ଡ୍ରିପ୍ ଇରିଗେସନ୍ କିଟ୍ ବ୍ୟବହାର କରନ୍ତୁ।,Brinjal,Market,Odia,Manipur,Zaid,High,Hopeful,Human,Drip Kit,517,No,7,ask_advice,20/11/2024 19:37
माझ्या बाजरी मध्ये पाण्याची कमतरता आहेत.,काही नाही वापरा.,Millets,Water,Marathi,Bihar,Rabi,Low,Frustrated,Private,None,0,No,6,ask_advice,25/08/2024 08:57
ᱟᱢᱟᱜ ᱠᱮᱨᱟ ᱨᱮ ᱠᱤᱲᱟ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱵᱟᱨᱩᱜᱟᱹᱱᱟᱥᱟᱜ ᱥᱤᱢᱯᱟᱹᱲᱤ ᱢᱮᱱᱟᱜᱼᱟ।,Banana,Pest,Santhali,Andhra Pradesh,Monsoon,Low,Hopeful,Human,Fungicide,4812,Yes,5,ask_advice,08/07/2024 18:40
ঐগী বেগুন দা মৌজমগী সমস্যা ওইরে।,ফাংগিচাইড স্প্রে কৰবা।,Brinjal,Weather,Manipuri,Uttar Pradesh,Zaid,Low,Angry,Human,Fungicide,2161,No,6,ask_advice,18/08/2024 01:08
পিঁয়াজ শস্য সঁজুলিৰ সমস্যাৰ কাৰণে নষ্ট হৈছে।,ফাংগিচাইড স্প্ৰে কৰক।,Onion,Equipment,Assamese,Assam,Rabi,Medium,Frustrated,Private,Fungicide,1913,No,7,ask_advice,29/12/2024 08:44
ਸੇਬ ਦੀ ਫਸਲ ਪਾਣੀ ਦੀ ਕਮੀ ਕਾਰਨ ਖਰਾਬ ਹੋ ਰਹੀ ਹੈ।,ਮਿੱਟੀ ਦੀ ਜਾਂਚ ਕਰੋ ਅਤੇ ਫੰਜੀਸਾਈਡ ਲਗਾਓ।,Apple,Water,Punjabi,Goa,Summer,Low,Frustrated,Private,Fungicide,2820,No,11,ask_advice,07/09/2024 13:49
কফি শস্য বজাৰগী সমস্যা গী কারণদা নষ্ট ওইরে।,কোনো নৌ শিজিন্নবা।,Coffee,Market,Manipuri,Tamil Nadu,Winter,Medium,Frustrated,NGO,None,0,Yes,8,ask_advice,05/11/2024 22:35
मेरे कपास को रोग ने नुकसान कर दिया है।,सिंचाई पंप का छिड़काव करो।,Cotton,Disease,Haryanvi,Punjab,Zaid,Low,Neutral,Private,Irrigation Pump,1281,No,9,ask_advice,24/12/2024 00:26
मेरे गेहूं को बाजार की समस्या ने नुकसान कर दिया है।,कीटनाशक का छिड़काव करो।,Wheat,Market,Haryanvi,Nagaland,Monsoon,Low,Frustrated,Govt_Expert,Pesticide,684,Yes,11,ask_advice,07/08/2024 09:02
మా టమాటో కి నీటి కొరత నష్టం కలిగింది.,వేప నూనె స్ప్రే చేయండి.,Tomato,Water,Telugu,Kerala,Rabi,Low,Neutral,Govt_Expert,Neem Oil,3448,No,18,ask_advice,09/04/2024 16:35
दाल के फसल मौसम के समस्या के कारण खराब हो रहल अछि।,सिंचाई पंप के छिड़काव करू।,Pulses,Weather,Maithili,Mizoram,Rabi,High,Neutral,NGO,Irrigation Pump,3935,Yes,12,ask_advice,24/12/2024 17:34
கத்திரி பயிர் பூச்சிகள் காரணமாக பாதிக்கப்பட்டுள்ளது.,மண்ணை சோதித்து சொட்டு நீர்ப்பாசன கருவி பயன்படுத்தவும்.,Brinjal,Pest,Tamil,Karnataka,Kharif,Medium,Frustrated,Private,Drip Kit,446,No,26,ask_advice,10/12/2024 17:41
म्हज्या वायंगें आक किडे नुकसान जालें।,माती तपासून कीटकनाशक लाय।,Brinjal,Pest,Konkani,Meghalaya,Kharif,Medium,Frustrated,Govt_Expert,Pesticide,1242,No,6,ask_advice,11/01/2024 18:11
ಎನ್ನ ಕಬ್ಬು ಗ್ ನೀರ್ ಕೊರತೆ ರ್ದ್ ನಷ್ಟ ಆತ್ಂಡ್.,ಮಣ್ಣ್ ಪರಿಶೀಲನೆ ಮಲ್ತ್ ಗೊಬ್ಬರ ಹಾಕುಲೆ।,Sugarcane,Water,Tulu,Manipur,Winter,Low,Hopeful,Govt_Expert,Fertilizer,4912,No,8,ask_advice,29/07/2024 07:56
અમારા ડુંગળી ને જંતુઓ થી નુકસાન થયું છે.,લીમડો તેલ નો ઉપયોગ કરો.,Onion,Pest,Gujarati,Nagaland,Winter,Low,Worried,AI,Neem Oil,4642,No,8,ask_advice,05/04/2025 21:48
ਸੇਬ ਦੀ ਫਸਲ ਰੋਗ ਕਾਰਨ ਖਰਾਬ ਹੋ ਰਹੀ ਹੈ।,ਖਾਦ ਵਰਤੋਂ।,Apple,Disease,Punjabi,Uttar Pradesh,Kharif,Medium,Hopeful,Private,Fertilizer,1922,No,9,ask_advice,28/05/2024 13:49
মোৰ ডাল ত বজাৰৰ সমস্যাৰ আক্ৰমণ হৈছে।,মাটি পৰীক্ষা কৰক আৰু ফাংগিচাইড প্ৰয়োগ কৰক।,Pulses,Market,Assamese,Telangana,Summer,Low,Frustrated,Private,Fungicide,275,No,7,ask_advice,20/03/2025 17:23
আমার আলু এ পুষ্টির অভাব এর আক্রমণ হয়েছে।,কীটনাশক ব্যবহার করুন।,Potato,Nutrient,Bengali,Andhra Pradesh,Winter,Low,Worried,AI,Pesticide,2358,Yes,8,ask_advice,14/03/2025 03:04
ಎನ್ನ ಕಾಳು ಗ್ ನೀರ್ ಕೊರತೆ ರ್ದ್ ನಷ್ಟ ಆತ್ಂಡ್.,ಮಣ್ಣ್ ಪರಿಶೀಲನೆ ಮಲ್ತ್ ಗೊಬ್ಬರ ಹಾಕುಲೆ।,Pulses,Water,Tulu,Maharashtra,Winter,High,Hopeful,Human,Fertilizer,555,No,8,ask_advice,05/10/2024 20:38
અમારા નાગલી માં રોગ થયા છે.,લીમડો તેલ નો ઉપયોગ કરો.,Ragi,Disease,Gujarati,Haryana,Zaid,Low,Angry,NGO,Neem Oil,3111,Yes,6,ask_advice,06/01/2025 18:10
ಬದನೆಕಾಯಿ ಬೆಳೆ ಹವಾಮಾನ ಸಮಸ್ಯೆ ಕಾರಣದಿಂದ ಹಾಳಾಗುತ್ತಿದೆ.,ಮಣ್ಣನ್ನು ಪರೀಕ್ಷಿಸಿ ಮತ್ತು ನೀರಾವರಿ ಪಂಪ್ ಹಾಕಿ.,Brinjal,Weather,Kannada,Andhra Pradesh,Summer,High,Neutral,NGO,Irrigation Pump,655,No,25,ask_advice,08/08/2024 15:52
ચોખા નું પાક પાણીની અછત ને કારણે ખરાબ થઈ રહ્યું છે.,સિંચાઈ પંપ નો ઉપયોગ કરો.,Rice,Water,Gujarati,Haryana,Rabi,High,Worried,NGO,Irrigation Pump,1658,No,11,ask_advice,28/04/2025 14:11
हमर आम मे रोग भ गेल अछि।,ड्रिप किट के उपयोग करू।,Mango,Disease,Maithili,Odisha,Summer,Medium,Neutral,Human,Drip Kit,2852,No,7,ask_advice,30/10/2024 07:54
మా సుగంధ ద్రవ్యాలు కి వాతావరణ సమస్య నష్టం కలిగింది.,నీటిపారుదల పంపు స్ప్రే చేయండి.,Spices,Weather,Telugu,Himachal Pradesh,Summer,Medium,Hopeful,NGO,Irrigation Pump,339,No,25,ask_advice,12/09/2024 15:30
منہ پیاز کو موسم دی پریشانی نی نقصان کرو۔,ففوندناشک استیمال کرو۔,Onion,Weather,Kashmiri,Sikkim,Kharif,Medium,Angry,NGO,Fungicide,1741,Yes,9,ask_advice,24/01/2025 02:51
ᱠᱟᱯᱟᱥ ᱨᱮᱫᱚ ᱵᱟᱹᱨᱩᱜ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱵᱟᱨᱮ ᱧᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱨ ᱵᱟᱨᱩᱜᱟᱹᱱᱟᱥᱟᱜ ᱞᱟᱜᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ।,Cotton,Disease,Santhali,Chhattisgarh,Winter,High,Frustrated,AI,Fungicide,4423,Yes,6,ask_advice,14/12/2024 12:03
ਮੇਰੀ ਚਾਹ ਨੂੰ ਕੀੜੇ ਨੇ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ ਹੈ।,ਫੰਜੀਸਾਈਡ ਵਰਤੋਂ।,Tea,Pest,Punjabi,West Bengal,Zaid,Medium,Frustrated,Human,Fungicide,649,Yes,8,ask_advice,15/01/2025 23:24
वायंगें चें पीक हवामान समस्या कारणान खराब जाला।,माती तपासून निंबोळी तेल लाय।,Brinjal,Weather,Konkani,Maharashtra,Rabi,Medium,Angry,Human,Neem Oil,2461,Yes,8,ask_advice,03/01/2024 06:21
म्हारा दाल ने मौसम री समस्या से नुकसान भयो है।,सिंचाई पंप को उपयोग करो।,Pulses,Weather,Rajasthani,Madhya Pradesh,Kharif,Medium,Angry,NGO,Irrigation Pump,947,No,10,ask_advice,03/05/2025 20:45
